Player, Age, Team, Pos, GP, G, A, PTS, +/-, PIM, PS, EV, PP, SH, GW, EV, PP, SH, S, S%, TOI, ATOI, BLK, HIT, FOW, FOL, FO%
Justin Danforth,29,CBJ,RW,6,2,1,3,-3,4,0.2,2,0,0,0,1,0,0,10,8.1,80,13:23,1,7,4,9,63.2
Laurent Dauphin,27,ARI,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.9,8,8:28,0,0,4,1,22.2
Jeremy Davies,26,BUF,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,14,9,8:33,1,0,0,0,43.5
Calvin de Haan,31,CAR,D,28,1,5,6,0,14,1.1,1,0,0,0,5,0,0,25,11.9,359,12:49,29,46,0,0,37.5
Anthony DeAngelo,27,PHI,D,30,6,12,18,-14,34,2.2,3,3,0,0,6,6,0,74,2.6,730,24:21:00,40,20,0,0,57.5
Alex DeBrincat,25,OTT,RW,34,11,22,33,-10,10,3,6,5,0,1,8,14,0,123,0,665,19:34,16,46,3,1,47.1
Jake DeBrusk,26,BOS,LW,33,14,13,27,13,8,3.4,9,5,0,3,7,5,1,100,0,565,17:07,13,47,2,5,49.7
Ty Dellandrea,22,DAL,C,36,5,9,14,3,23,1.1,5,0,0,2,8,0,1,42,4.5,511,14:12,23,58,41,41,50
Dylan DeMelo,29,WPG,D,31,1,8,9,8,18,2.2,1,0,0,0,6,0,2,39,13.2,591,19:04,33,60,0,0,52.9
Grigori Denisenko,22,FLA,LW,6,0,1,1,-2,0,-0.1,0,0,0,0,1,0,0,4,9.8,62,10:23,0,9,0,0,100
Semyon Der-Arguchintsev,22,TOR,C,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,7:16,0,0,0,0,52
Nick DeSimone,28,CGY,D,4,0,0,0,-4,2,-0.2,0,0,0,0,0,0,0,4,9.6,45,11:15,4,2,0,0,0
Nicolas Deslauriers,31,PHI,LW,35,1,4,5,-5,64,-0.2,1,0,0,0,4,0,0,22,15.3,360,10:18,11,145,1,3,51.1
Connor Dewar,23,MIN,C,33,5,6,11,1,29,1,2,0,3,0,5,0,1,38,14.6,374,11:21,20,53,84,96,54.3
Jason Dickinson,27,CHI,C,29,4,6,10,-10,12,0.4,3,1,0,1,4,0,2,41,0,445,15:20,28,42,142,136,76.9
Brenden Dillon,32,WPG,D,35,0,9,9,1,44,1.8,0,0,0,0,8,0,1,45,2.8,703,20:04,49,93,0,0,50
Noah Dobson,23,NYI,D,36,10,14,24,3,8,4.1,7,3,0,2,8,6,0,104,23.5,748,20:47,51,31,0,0,38.8
Max Domi,27,CHI,LW,33,11,12,23,-12,37,2.1,5,6,0,2,7,5,0,72,17.8,612,18:33,9,10,239,187,41.2
Ryan Donato,26,SEA,C,28,7,3,10,8,16,1.3,7,0,0,0,2,1,0,48,9.4,311,11:07,4,27,21,21,0
Pavel Dorofeyev,22,VEG,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,11:28,1,0,0,0,16.7
Drew Doughty,33,LAK,D,37,2,18,20,5,22,3.1,0,2,0,0,10,8,0,71,0,979,26:27:00,57,54,0,0,57.2
Nic Dowd,32,WSH,C,36,8,6,14,7,18,1.7,8,0,0,2,5,0,1,34,0,472,13:06,31,76,239,244,52.1
Leon Draisaitl,27,EDM,C,36,21,36,57,4,16,6,8,13,0,8,21,14,1,118,13.1,800,22:14,25,20,353,317,33.3
Sheldon Dries,28,VAN,C,19,3,4,7,-7,8,0.3,2,1,0,0,3,1,0,32,18.2,210,11:04,9,19,93,82,60
Jonathan Drouin,27,MTL,LW,18,0,5,5,-8,2,-0.2,0,0,0,0,2,3,0,21,12.8,250,13:55,5,13,18,21,32.4
Jack Drury,22,CAR,C,21,0,2,2,4,10,0,0,0,0,0,2,0,0,32,14.3,206,9:50,9,6,47,37,33.3
Jamie Drysdale,20,ANA,D,8,0,0,0,-3,2,-0.1,0,0,0,0,0,0,0,8,6.5,141,17:37,6,7,0,0,33.3
Dillon Dube,24,CGY,C,36,8,12,20,3,14,1.9,6,0,2,0,11,1,0,61,0,554,15:23,8,55,22,31,66.7
Pierre-Luc Dubois,24,WPG,LW,35,16,22,38,1,30,4,10,6,0,1,14,8,0,88,7.8,640,18:17,26,36,223,231,75
Matt Duchene,32,NSH,C,32,10,16,26,-4,26,2.4,7,3,0,1,13,3,0,78,8.3,582,18:11,16,7,48,41,58.7
Brandon Duhaime,25,MIN,RW,14,3,1,4,4,20,0.6,2,0,1,1,1,0,0,21,13.2,133,9:29,5,40,0,1,50
Mathew Dumba,28,MIN,D,34,3,6,9,-2,38,1.9,3,0,0,2,6,0,0,46,11.1,715,21:02,48,49,0,0,45.3
Brian Dumoulin,31,PIT,D,34,0,8,8,-3,6,1.2,0,0,0,0,7,0,1,22,3,676,19:54,64,54,0,0,33.3
Vince Dunn,26,SEA,D,32,4,14,18,10,20,2.9,4,0,0,0,7,7,0,51,3.7,763,23:50,36,42,0,0,33.3
Joshua Dunne,24,CBJ,C,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,0,17,5:44,0,3,3,5,55.9
Sean Durzi,24,LAK,D,35,4,16,20,-8,16,2.2,3,1,0,1,7,9,0,48,13,706,20:10,65,41,0,0,61.1
Christian Dvorak,26,MTL,C,34,7,7,14,-2,0,1.1,7,0,0,1,6,1,0,53,5.6,573,16:51,34,4,247,219,44.4
Jordan Eberle,32,SEA,RW,32,8,17,25,7,12,2.3,7,1,0,2,12,5,0,72,3.4,520,16:15,7,19,9,9,19.1
Alexander Edler,36,LAK,D,32,1,5,6,0,20,1,1,0,0,1,5,0,0,33,1.7,486,15:11,62,62,0,0,55.1
Joel Edmundson,29,MTL,D,24,1,3,4,-7,21,0.4,1,0,0,0,3,0,0,27,13.2,482,20:05,74,41,0,0,53.3
Nikolaj Ehlers,26,WPG,LW,2,0,3,3,0,0,0.2,0,0,0,0,2,1,0,7,0,38,19:00,1,2,0,0,100
Jack Eichel,26,VEG,C,27,13,16,29,17,0,3.9,12,1,0,2,9,7,0,100,10.9,508,18:49,23,20,130,175,35.1
Aaron Ekblad,26,FLA,D,24,4,10,14,-14,32,1,3,1,0,0,3,7,0,72,8,577,24:03:00,33,24,0,0,45.5
Mattias Ekholm,32,NSH,D,33,2,9,11,3,10,2.3,2,0,0,0,7,2,0,59,11.4,715,21:41,41,47,0,0,25
Oliver Ekman-Larsson,31,VAN,D,34,1,14,15,-10,16,1.1,1,0,0,0,10,3,1,58,16.1,699,20:33,26,50,0,0,60
Lars Eller,33,WSH,C,36,7,7,14,3,24,1.3,7,0,0,0,7,0,0,53,3,555,15:26,19,46,246,221,61.1
Andreas Englund,27,COL,D,16,0,1,1,-2,7,0.2,0,0,0,0,1,0,0,6,4,193,12:05,9,60,0,0,34.7
Pierre Engvall,26,TOR,LW,33,6,6,12,7,21,1.2,5,1,0,2,6,0,0,55,2.1,416,12:37,4,31,20,19,32.2
Mackenzie Entwistle,23,CHI,RW,33,2,3,5,-7,6,-0.1,2,0,0,0,2,1,0,25,100,384,11:38,14,58,43,46,47.8
Joel Eriksson Ek,26,MIN,C,34,12,15,27,1,20,2.7,6,5,1,0,10,5,0,105,11.1,662,19:29,23,49,304,323,46
Adam Erne,27,DET,LW,32,5,8,13,-3,6,0.8,5,0,0,1,7,0,1,31,9.1,461,14:24,33,95,6,8,25
Jake Evans,26,MTL,C,34,1,6,7,-7,13,-0.2,0,1,0,0,6,0,0,33,22.2,483,14:13,25,10,210,196,52.7
Michael Eyssimont,26,WPG,C,18,1,4,5,5,7,0.4,1,0,0,0,4,0,0,25,15.6,188,10:26,6,35,1,3,27.3
Dante Fabbro,24,NSH,D,32,1,5,6,0,18,1.3,1,0,0,0,5,0,0,48,6.5,530,16:33,50,37,0,0,100
Samuel Fagemo,22,LAK,LW,3,1,1,2,0,0,0.2,1,0,0,0,1,0,0,1,5.6,26,8:39,3,3,0,0,33.3
Radek Faksa,29,DAL,C,36,3,3,6,5,21,0.2,2,0,1,1,3,0,0,27,3.6,473,13:08,31,32,124,104,0
Joel Farabee,22,PHI,LW,35,6,12,18,0,19,1.4,6,0,0,1,12,0,0,66,9.2,608,17:22,22,41,9,13,55.8
Hudson Fasching,27,NYI,RW,9,2,1,3,5,2,0.5,2,0,0,0,1,0,0,9,11.5,101,11:13,3,11,1,2,0
Jesper Fast,31,CAR,RW,33,5,9,14,9,6,1.4,5,0,0,1,8,0,1,32,0,496,15:02,17,43,4,3,0
Justin Faulk,30,STL,D,35,6,14,20,-5,10,2.8,4,2,0,2,10,4,0,92,0,817,23:20,55,69,0,0,58.2
Martin Fehervary,23,WSH,D,26,2,2,4,1,10,1.2,2,0,0,0,2,0,0,36,0,522,20:05,39,83,0,0,0
Mario Ferraro,24,SJS,D,26,1,4,5,-18,8,-0.1,1,0,0,0,3,1,0,28,0,590,22:42,52,32,0,1,40
Kevin Fiala,26,LAK,LW,38,10,25,35,2,28,3.1,7,3,0,1,18,7,0,109,10,672,17:40,14,26,7,5,28.1
Christian Fischer,25,ARI,RW,33,6,6,12,1,16,0.9,5,0,1,0,6,0,0,52,8.3,509,15:26,19,55,1,18,33.3
Casey Fitzgerald,25,BUF,D,23,0,3,3,-1,4,0.3,0,0,0,0,3,0,0,12,15,300,13:03,12,29,0,0,32.7
Trey Fix-Wolansky,23,CBJ,RW,4,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,6,7.1,40,9:56,4,5,0,0,40.6
Cale Fleury,24,SEA,D,6,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,5,9.5,79,13:06,6,14,0,0,20
Haydn Fleury,26,TBL,D,16,0,1,1,-2,2,0.1,0,0,0,0,1,0,0,16,9.4,197,12:20,15,19,0,0,61.7
Warren Foegele,26,EDM,LW,25,4,3,7,0,10,0.5,3,0,1,2,3,0,0,40,4.9,309,12:23,8,46,4,4,20
Steven Fogarty,29,MIN,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10:19,0,3,2,2,31.6
Marcus Foligno,31,MIN,LW,27,3,7,10,-3,46,0.5,3,0,0,0,5,2,0,36,0,407,15:04,13,90,4,6,48.1
Nick Foligno,35,BOS,LW,34,6,10,16,8,26,1.7,4,2,0,1,7,3,0,40,7,411,12:04,20,74,18,11,57.5
Callan Foote,24,TBL,D,17,1,2,3,0,20,0.5,1,0,0,0,2,0,0,14,10,251,14:47,13,28,0,0,75
Derek Forbort,30,BOS,D,23,2,5,7,5,6,1.5,1,0,1,1,5,0,0,21,15,420,18:14,30,53,0,0,52
Filip Forsberg,28,NSH,C,33,10,16,26,-7,14,2.3,8,2,0,1,8,8,0,106,13,593,17:58,14,56,0,0,0
Gustav Forsling,26,FLA,D,35,5,17,22,12,20,3.8,4,1,0,1,14,2,1,103,7.7,847,24:12:00,46,32,0,0,39.5
Gabriel Fortier,22,TBL,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,8:25,0,1,0,0,48.6
Jean-Luc Foudy,20,COL,C,9,0,0,0,-3,6,-0.2,0,0,0,0,0,0,0,12,0,90,10:02,2,2,0,3,50.3
Liam Foudy,22,CBJ,C,17,0,3,3,-11,4,-0.4,0,0,0,0,3,0,0,8,5.9,180,10:35,5,20,0,5,59.1
Cam Fowler,31,ANA,D,35,4,13,17,-10,4,2.3,1,3,0,0,8,5,0,57,7.7,852,24:20:00,34,10,0,0,0
Adam Fox,24,NYR,D,36,7,28,35,11,12,5.6,6,1,0,3,15,12,1,70,7.7,899,24:58:00,48,15,0,0,0
Trent Frederic,24,BOS,C,31,6,7,13,17,22,1.8,6,0,0,3,7,0,0,40,13.4,343,11:04,12,45,3,5,41.7
Morgan Frost,23,PHI,C,34,7,7,14,0,16,1.2,7,0,0,1,6,1,0,54,10.8,518,15:14,22,37,151,200,50.3
Jonah Gadjovich,24,SJS,LW,19,1,1,2,-6,35,-0.2,1,0,0,0,1,0,0,13,0,165,8:40,2,47,1,3,50.6
Sam Gagner,33,WPG,C,32,6,5,11,0,8,0.9,5,1,0,1,3,2,0,60,23.8,417,13:02,11,10,12,28,35.1
Alex Galchenyuk,28,COL,C,4,0,0,0,-3,4,-0.2,0,0,0,0,0,0,0,2,5.3,39,9:50,2,4,2,1,48.1
Brendan Gallagher,30,MTL,RW,22,3,5,8,-3,10,0.5,3,0,0,1,3,2,0,51,0,316,14:21,7,10,4,7,37.5
Dylan Gambrell,26,OTT,C,16,1,0,1,-2,11,-0.1,1,0,0,0,0,0,0,13,16.7,173,10:47,10,16,33,51,75
Conor Garland,26,VAN,RW,33,5,11,16,-8,21,0.8,4,1,0,1,7,4,0,65,0,500,15:09,8,16,3,3,48.6
Frederick Gaudreau,29,MIN,C,34,9,7,16,5,2,1.7,7,1,1,1,6,0,1,67,2.3,544,16:01,20,22,206,217,52
Johnny Gaudreau,29,CBJ,LW,33,10,24,34,-16,10,2.7,10,0,0,2,15,9,0,93,4.2,657,19:55,6,3,0,0,45.2
Brendan Gaunce,28,CBJ,C,5,0,1,1,-1,2,0,0,0,0,0,1,0,0,9,9.7,52,10:28,2,4,33,23,43.5
Julien Gauthier,25,NYR,RW,25,5,3,8,2,4,0.9,5,0,0,0,3,0,0,21,17.1,221,8:51,5,50,3,4,51.5
Vladislav Gavrikov,27,CBJ,D,33,2,7,9,-3,18,1.6,2,0,0,2,6,0,1,38,6.7,744,22:33,65,34,0,0,50
Glenn Gawdin,25,ANA,C,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,6.5,29,9:36,3,4,8,14,41.4
Morgan Geekie,24,SEA,C,26,4,9,13,16,16,1.7,4,0,0,3,9,0,0,24,3.6,264,10:09,17,24,118,135,33.3
Dennis Gilbert,26,CGY,D,8,0,1,1,-1,20,0.1,0,0,0,0,1,0,0,5,17.8,82,10:16,6,18,0,0,50
Mark Giordano,39,TOR,D,35,1,10,11,13,31,2.7,0,0,1,1,10,0,0,44,12.5,692,19:47,69,30,0,0,7.7
Samuel Girard,24,COL,D,27,2,5,7,-10,10,0.9,2,0,0,1,3,2,0,48,7.4,551,20:25,27,25,0,0,0
Zemgus Girgensons,29,BUF,C,31,3,4,7,0,8,0.2,3,0,0,0,4,0,0,31,9.3,386,12:28,20,33,52,59,57.1
Claude Giroux,35,OTT,C,34,14,15,29,0,8,3.4,11,3,0,2,6,8,1,82,9.1,621,18:15,15,28,240,154,52
Cody Glass,23,NSH,C,23,2,6,8,1,4,0.6,2,0,0,0,5,1,0,30,0,282,12:16,5,19,92,96,39.8
Luke Glendening,33,DAL,C,36,2,2,4,-5,37,-0.4,1,0,1,0,2,0,0,31,6.1,440,12:13,31,48,183,120,46.2
Alex Goligoski,37,MIN,D,16,1,2,3,-1,0,0.6,1,0,0,1,2,0,0,28,3.8,277,17:17,23,14,0,0,55.7
Barclay Goodrow,29,NYR,RW,36,8,10,18,1,34,1.6,8,0,0,1,8,1,1,45,14.3,541,15:01,22,52,115,133,50.3
Shayne Gostisbehere,29,ARI,D,33,9,16,25,-4,10,3.6,5,3,1,1,10,6,0,72,5.6,729,22:06,41,19,0,0,55.6
Yanni Gourde,31,SEA,C,31,4,15,19,7,34,1.4,3,0,1,0,15,0,0,54,15,520,16:47,17,49,153,164,49.5
Mikael Granlund,30,NSH,C,33,4,16,20,-12,4,0.9,3,1,0,0,10,6,0,43,12.2,632,19:10,25,35,101,136,49.7
Derek Grant,32,ANA,C,15,2,1,3,-6,8,-0.1,2,0,0,0,1,0,0,22,2.2,207,13:48,10,17,81,76,0
Kevin Gravel,30,NSH,D,4,0,0,0,-3,0,-0.1,0,0,0,0,0,0,0,2,4.1,59,14:38,6,7,0,0,55.6
Ryan Graves,27,NJD,D,33,3,6,9,18,8,3,3,0,0,0,5,0,1,49,2.1,610,18:29,53,42,0,0,0
Jordan Greenway,25,MIN,LW,18,1,2,3,1,10,0,1,0,0,0,2,0,0,26,11.5,250,13:55,9,22,1,1,47.7
A.J. Greer,26,BOS,LW,23,3,4,7,2,35,0.6,3,0,0,0,4,0,0,21,16.7,214,9:18,10,52,0,0,47.3
Noah Gregor,24,SJS,C,19,2,0,2,-5,9,-0.1,2,0,0,0,0,0,0,36,3,227,11:58,11,22,1,4,40
Jordan Gross,27,NSH,D,10,3,0,3,-3,2,0.6,2,1,0,0,0,0,0,20,4.9,188,18:49,12,10,0,0,0
Carl Grundstrom,25,LAK,RW,33,6,4,10,-6,10,0.6,5,1,0,1,4,0,0,49,0,380,11:31,8,88,2,3,0
Matt Grzelcyk,29,BOS,D,30,1,8,9,15,18,2.4,1,0,0,1,8,0,0,45,8.3,526,17:31,40,19,0,0,50
Radko Gudas,32,FLA,D,25,2,4,6,2,39,1.1,2,0,0,0,4,0,0,49,20.3,470,18:49,41,95,0,0,46.8
Erik Gudbranson,31,CBJ,D,32,1,7,8,-15,28,0.5,1,0,0,1,7,0,0,47,0,652,20:23,65,61,0,0,100
Dylan Guenther,19,ARI,RW,21,3,8,11,-5,8,0.7,0,3,0,1,6,2,0,26,2.2,259,12:21,7,11,1,2,100
Jake Guentzel,28,PIT,C,30,15,18,33,2,20,3.7,10,5,0,3,15,3,0,90,7.7,590,19:39,8,35,4,5,50
Kaiden Guhle,21,MTL,D,34,1,12,13,-11,21,1.2,1,0,0,0,12,0,0,33,11.4,710,20:53,60,65,0,0,50
Denis Gurianov,25,DAL,RW,25,2,3,5,-4,4,0,2,0,0,0,3,0,0,41,13.8,323,12:55,12,9,0,0,53.4
David Gustafsson,22,WPG,C,34,0,4,4,1,4,-0.2,0,0,0,0,3,0,1,32,0,352,10:21,15,15,68,86,57.8
Erik Gustafsson,30,WSH,D,36,5,14,19,3,17,3.3,5,0,0,1,9,5,0,60,5.9,697,19:22,37,27,0,0,51.9
Brandon Hagel,24,TBL,LW,32,12,14,26,9,20,2.9,8,3,1,1,11,3,0,59,5.6,600,18:45,22,25,14,33,40
Robert Hagg,27,DET,D,13,0,2,2,-8,10,-0.2,0,0,0,0,2,0,0,19,3.4,204,15:43,17,36,0,0,42.9
Nicolas Hague,24,VEG,D,36,1,6,7,-5,8,1.1,1,0,0,0,6,0,0,45,0,622,17:17,62,44,0,0,47.6
Libor Hajek,24,NYR,D,16,1,0,1,2,4,0.5,1,0,0,0,0,0,0,13,16.7,212,13:16,20,17,0,0,37.5
Jani Hakanpaa,30,DAL,D,36,4,4,8,11,38,2.5,4,0,0,1,4,0,0,35,0,680,18:53,55,95,0,0,46.7
Taylor Hall,31,BOS,LW,34,13,14,27,12,16,3.3,10,3,0,5,12,2,0,94,10,548,16:07,16,16,2,4,0
Filip Hallander,22,PIT,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,20,9:58,3,1,0,0,33.3
James Hamblin,23,EDM,F,9,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,11,6.7,78,8:40,1,2,24,14,28.6
Dougie Hamilton,29,NJD,D,34,7,21,28,10,22,4.8,5,2,0,3,10,11,0,118,7.7,754,22:11,33,27,0,0,44.1
Travis Hamonic,32,OTT,D,34,3,3,6,-7,30,1.3,3,0,0,0,3,0,0,54,3,637,18:45,55,49,0,0,52
Noah Hanifin,26,CGY,D,35,3,12,15,8,29,3,2,1,0,0,9,2,1,87,9.6,789,22:33,63,44,0,0,45.3
Joel Hanley,31,DAL,D,8,0,0,0,4,13,0.4,0,0,0,0,0,0,0,6,1.9,88,11:01,9,8,0,0,37.5
Jansen Harkins,25,WPG,C,20,3,2,5,5,12,0.6,3,0,0,0,2,0,0,18,0,226,11:18,10,12,2,7,50
Ben Harpur,28,NYR,D,6,0,1,1,0,2,0.2,0,0,0,0,1,0,0,5,1.6,81,13:28,6,8,0,0,49.4
Scott Harrington,29,SJS,D,10,1,4,5,2,4,0.9,1,0,0,1,4,0,0,10,7.3,151,15:06,14,8,0,0,30
Jordan Harris,22,MTL,D,30,1,10,11,-1,12,1.6,1,0,0,0,9,1,0,35,0,553,18:26,47,28,0,0,57.7
Ryan Hartman,28,MIN,RW,13,2,5,7,2,20,0.6,2,0,0,1,3,1,1,30,5.9,198,15:12,7,17,40,52,46.3
Garnet Hathaway,31,WSH,RW,37,3,5,8,5,37,0.6,3,0,0,0,5,0,0,39,13.8,455,12:17,41,127,3,5,66.7
Erik Haula,31,NJD,LW,34,2,12,14,8,29,0.9,1,1,0,0,10,2,0,67,16.7,568,16:43,26,40,250,185,43.6
Kevin Hayes,30,PHI,RW,34,9,21,30,-14,15,2.3,7,2,0,1,12,9,0,94,12.8,635,18:41,14,24,189,212,50
Barrett Hayton,22,ARI,C,33,1,4,5,-12,10,-0.7,1,0,0,0,3,1,0,54,0,496,15:01,10,41,191,193,50.7
Dillon Heatherington,27,OTT,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,20.2,20,9:58,2,2,0,0,40
Victor Hedman,32,TBL,D,30,1,17,18,2,12,2.4,1,0,0,0,11,6,0,61,12.3,718,23:55,55,45,0,0,41
Danton Heinen,27,PIT,C,29,3,7,10,-3,8,0.5,2,1,0,0,6,1,0,41,13.2,355,12:14,10,37,2,2,42.2
Ville Heinola,21,WPG,D,5,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,10.3,67,13:19,3,1,0,0,57.6
Miro Heiskanen,23,DAL,D,33,5,21,26,5,16,4.1,4,1,0,0,7,13,1,85,3.6,835,25:19:00,41,23,0,0,12.5
Adam Henrique,32,ANA,C,34,9,8,17,0,18,1.5,7,2,0,0,4,4,0,65,6.5,621,18:16,29,22,222,198,48.1
Aleksi Heponiemi,24,FLA,C,10,1,2,3,-1,2,0.2,1,0,0,0,2,0,0,6,4.5,86,8:35,1,2,2,0,48.6
Tomas Hertl,29,SJS,C,34,11,21,32,-3,12,3,8,3,0,1,15,6,0,86,0,665,19:33,24,41,327,302,55.1
Vinnie Hinostroza,28,BUF,C,16,0,8,8,-1,6,0.3,0,0,0,0,7,0,1,17,16.7,199,12:25,3,1,0,3,26.1
Roope Hintz,26,DAL,LW,35,18,22,40,19,12,5.4,13,4,1,4,13,9,0,89,12.5,609,17:24,28,24,117,112,39.6
Nico Hischier,24,NJD,C,33,13,18,31,11,2,3.6,9,4,0,3,13,4,1,106,12.5,656,19:52,21,9,383,322,36.9
Hayden Hodgson,26,PHI,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5,4:46,0,0,0,0,41.4
Mike Hoffman,33,MTL,C,24,7,3,10,3,14,1.2,7,0,0,2,2,1,0,53,24.5,345,14:23,10,11,10,3,28.6
Nils Hoglander,22,VAN,LW,25,3,6,9,-4,6,0.4,3,0,0,0,6,0,0,29,4.8,301,12:03,8,21,1,1,47.9
Nick Holden,35,OTT,D,29,1,5,6,-7,4,0.9,1,0,0,0,5,0,0,28,10.1,483,16:39,35,44,0,0,34
Justin Holl,31,TOR,D,35,2,3,5,7,20,1.9,2,0,0,1,3,0,0,31,11.1,750,21:25,62,71,0,0,0
Dylan Holloway,21,EDM,C,32,1,3,4,-4,10,-0.2,1,0,0,0,3,0,0,22,0,280,8:44,7,49,19,30,50
Mac Hollowell,24,TOR,D,6,0,2,2,3,2,0.5,0,0,0,0,2,0,0,4,12.8,78,12:56,6,3,0,0,37.5
Pontus Holmberg,23,TOR,RW,20,2,6,8,1,4,0.6,2,0,0,2,6,0,0,12,1.8,201,10:02,10,12,47,67,57.9
